id,peer,task,Date
0,Diluc,C2_SimpleBashUtils,2022-08-30
1,Bennett,C2_SimpleBashUtils,2022-09-01
2,Dori,C2_SimpleBashUtils,2022-09-03
3,Keqing,C2_SimpleBashUtils,2022-09-04
4,Zhongli,C2_SimpleBashUtils,2022-09-05
5,Diluc,C3_s21_string+,2022-09-15
6,Bennett,C3_s21_string+,2022-09-15
7,Klee,C2_SimpleBashUtils,2022-09-15
8,Diluc,C5_s21_decimal,2022-09-25
9,Diluc,C6_s21_matrix,2022-09-26
10,Diluc,C7_SmartCalc_v1.0,2022-10-01
11,Diluc,C8_3DViewer_v1.0,2022-10-10
12,Keqing,C2_SimpleBashUtils,2022-10-20
